,Date,HEI US Equity,HEI/A US Equity,HEI US Equity / HEI/A US Equity,SMA_21,SMA_50,SMA_120
4178,2014-11-17,26.3885,22.9427,1.1502,1.161366667,1.175414,1.221883333
4179,2014-11-18,26.409000000000002,22.784000000000002,1.1591,1.161904762,1.174418,1.2207975
4180,2014-11-19,26.1581,22.8813,1.1432,1.161933333,1.1727040000000002,1.219509167
4181,2014-11-20,26.4448,22.8096,1.1594,1.162904762,1.1715879999999999,1.218261667
4182,2014-11-21,26.4397,23.2038,1.1395,1.1624809520000001,1.169476,1.216905833
4183,2014-11-24,26.9568,23.296,1.1571,1.163542857,1.1679700000000002,1.215549167
4184,2014-11-25,27.177,23.2448,1.1692,1.165133333,1.16683,1.214386667
4185,2014-11-26,27.351,23.2397,1.1769,1.1661095240000001,1.16612,1.2131825
4186,2014-11-28,27.1411,23.168000000000003,1.1715,1.1674714290000001,1.165178,1.211996667
4187,2014-12-01,26.8902,22.7738,1.1808,1.169138095,1.1650120000000002,1.210975
4188,2014-12-02,27.4688,22.9222,1.1983,1.1697428570000001,1.16551,1.2100925
4189,2014-12-03,27.2845,22.5229,1.2114,1.171219048,1.165964,1.209220833
4190,2014-12-04,26.4755,22.0109,1.2028,1.171766667,1.166396,1.20846
4191,2014-12-05,27.3664,22.2618,1.2293,1.174542857,1.1674440000000001,1.207961667
4192,2014-12-08,27.008000000000003,22.2054,1.2163,1.176695238,1.167908,1.207385833
4193,2014-12-09,27.9347,22.8915,1.2203,1.1790904759999998,1.168582,1.206828333
4194,2014-12-10,27.3664,22.6406,1.2087,1.1797285709999998,1.1695799999999998,1.206284167
4195,2014-12-11,27.479,22.615,1.2151,1.181890476,1.1704139999999998,1.205704167
4196,2014-12-12,26.8595,22.1286,1.2138,1.183652381,1.171082,1.205204167
4197,2014-12-15,27.5558,22.7072,1.2135,1.185357143,1.171678,1.204825833
4198,2014-12-16,29.1789,23.8592,1.2229999999999999,1.188542857,1.1726159999999999,1.204541667
4199,2014-12-17,28.8614,23.4598,1.2302,1.1923523809999999,1.1740899999999999,1.2040525
4200,2014-12-18,29.7882,24.2381,1.229,1.195680952,1.175386,1.203633333
4201,2014-12-19,29.7011,24.3712,1.2187,1.19927619,1.176826,1.2031450000000001
4202,2014-12-22,30.2899,24.2893,1.247,1.203447619,1.17869,1.203023333
4203,2014-12-23,31.0528,24.8934,1.2474,1.208585714,1.180418,1.202983333
4204,2014-12-24,31.3395,24.8422,1.2615,1.213557143,1.182294,1.203180833
4205,2014-12-26,31.7747,25.303,1.2558,1.217680952,1.1838440000000001,1.2034025
4206,2014-12-29,31.9642,25.2826,1.2643,1.221842857,1.1859680000000001,1.203791667
4207,2014-12-30,31.7747,25.2211,1.2598,1.226047619,1.188232,1.204171667
4208,2014-12-31,30.9248,24.2483,1.2753,1.230547619,1.190782,1.2045649999999999
4209,2015-01-02,29.8291,23.6339,1.2621,1.2335857140000002,1.193172,1.2046424999999998
4210,2015-01-05,29.5834,22.6816,1.3043,1.238009524,1.1964780000000002,1.2052450000000001
4211,2015-01-06,29.4349,22.6099,1.3019,1.242728571,1.199548,1.205808333
4212,2015-01-07,29.6653,22.569000000000003,1.3144,1.246780952,1.2031399999999999,1.206655
4213,2015-01-08,30.2438,23.3165,1.2971,1.250628571,1.206366,1.207203333
4214,2015-01-09,29.7216,22.9939,1.2926,1.2540714290000001,1.20909,1.2077175
4215,2015-01-12,29.399,22.8198,1.2883,1.257861905,1.211998,1.208170833
4216,2015-01-13,29.5834,23.2704,1.2713,1.260538095,1.214508,1.2085791670000001
4217,2015-01-14,29.655,23.4394,1.2652,1.262985714,1.2161,1.2089174999999999
4218,2015-01-15,29.6346,23.2243,1.276,1.265961905,1.218012,1.20938
4219,2015-01-16,29.9264,23.5469,1.2709,1.268242857,1.2196040000000001,1.2098799999999998
4220,2015-01-20,29.8189,23.4547,1.2713,1.2702,1.22161,1.210425833
4221,2015-01-21,30.1722,23.4189,1.2884,1.273028571,1.223956,1.210983333
4222,2015-01-22,31.7235,24.576,1.2908,1.276461905,1.226372,1.2115775
4223,2015-01-23,31.6928,24.576,1.2896,1.278490476,1.228258,1.212119167
4224,2015-01-26,31.8054,24.704,1.2875,1.2804,1.2306139999999999,1.212590833
4225,2015-01-27,31.1398,23.9718,1.2990000000000002,1.2821857140000001,1.233058,1.213085
4226,2015-01-28,30.7149,23.7056,1.2957,1.2840857140000002,1.2354180000000001,1.213348333
4227,2015-01-29,31.6467,24.279,1.3035,1.285952381,1.238366,1.213766667
4228,2015-01-30,31.0682,24.151,1.2864,1.2872190479999999,1.24109,1.213918333
4229,2015-02-02,31.616,24.3302,1.2995,1.2883714290000001,1.243898,1.214246667
4230,2015-02-03,32.1792,24.4634,1.3154,1.2909095240000001,1.247342,1.214773333
4231,2015-02-04,31.5238,24.279,1.2984,1.2906285709999998,1.250122,1.215176667
4232,2015-02-05,31.656999999999996,24.064,1.3155,1.29127619,1.253642,1.2158075000000002
4233,2015-02-06,31.6826,24.361,1.3005,1.2906142859999998,1.25651,1.216318333
4234,2015-02-09,31.3088,24.2227,1.2925,1.2903952379999999,1.258976,1.2166508329999999
4235,2015-02-10,31.2627,23.9206,1.3069,1.29107619,1.261576,1.2171125
4236,2015-02-11,31.4419,24.2381,1.2972,1.2915,1.26409,1.217716667
4237,2015-02-12,31.5443,24.3046,1.2979,1.292766667,1.266432,1.2181575
4238,2015-02-13,32.0,24.32,1.3158,1.29517619,1.268782,1.2188
4239,2015-02-17,31.3088,23.7414,1.3187,1.2972095240000001,1.270928,1.219554167
4240,2015-02-18,31.6877,23.9514,1.3230000000000002,1.2996904759999999,1.273332,1.2201575
4241,2015-02-19,31.7542,23.9258,1.3272,1.302352381,1.27529,1.220793333
4242,2015-02-20,32.0666,24.1101,1.33,1.304333333,1.277564,1.221439167
4243,2015-02-23,31.9283,23.808000000000003,1.3411,1.3067285709999998,1.27998,1.222216667
4244,2015-02-24,31.6621,23.296,1.3591,1.310038095,1.282988,1.2233525
4245,2015-02-25,30.0134,22.8352,1.3143,1.311314286,1.284972,1.223999167
4246,2015-02-26,30.2131,23.1475,1.3052,1.311609524,1.2868,1.224481667
4247,2015-02-27,30.3411,23.3677,1.2984,1.311738095,1.288498,1.224978333
4248,2015-03-02,30.9197,23.8848,1.2945,1.3113095240000001,1.289928,1.225635833
4249,2015-03-03,30.7712,24.023000000000003,1.2809,1.311047619,1.290942,1.226235833
4250,2015-03-04,30.8275,24.0333,1.2827,1.310247619,1.292016,1.226684167
4251,2015-03-05,30.976,24.3558,1.2718,1.3081714290000002,1.2930780000000002,1.2271558329999999
4252,2015-03-06,30.2797,23.976999999999997,1.2629,1.306480952,1.293396,1.227304167
4253,2015-03-09,31.1194,24.4019,1.2753,1.304566667,1.293954,1.227661667
4254,2015-03-10,30.2029,23.9718,1.2599,1.302633333,1.293922,1.2279425
4255,2015-03-11,30.3104,23.8746,1.2696,1.301542857,1.294198,1.228419167
4256,2015-03-12,30.6534,24.3149,1.2607,1.299342857,1.294126,1.2287700000000001
4257,2015-03-13,30.5971,24.2432,1.2621,1.297671429,1.2941719999999999,1.2293783329999999
4258,2015-03-16,30.7251,24.361,1.2612,1.29592381,1.29389,1.23011
4259,2015-03-17,30.7558,24.406999999999996,1.2601,1.293271429,1.29385,1.230705
