,Date,BF/A US Equity,BF/B US Equity,BF/A US Equity / BF/B US Equity,SMA_21,SMA_50,SMA_120
2502,1998-02-02,5.48,5.7933,0.9459,0.946142857,0.953242,0.963875
2503,1998-02-03,5.4,5.7133,0.9452,0.945480952,0.9529299999999999,0.963496667
2504,1998-02-04,5.28,5.6267,0.9384,0.945271429,0.9526,0.963073333
2505,1998-02-05,5.2933,5.6,0.9452,0.9452952379999999,0.952364,0.962751667
2506,1998-02-06,5.36,5.6933,0.9415,0.945104762,0.951916,0.962411667
2507,1998-02-09,5.4333,5.7467,0.9455,0.945466667,0.9516700000000001,0.9621799999999999
2508,1998-02-10,5.44,5.74,0.9477,0.94527619,0.9514819999999999,0.961889167
2509,1998-02-11,5.5067,5.7867,0.9516,0.9457714290000001,0.951536,0.961738333
2510,1998-02-12,5.52,5.76,0.9583,0.94627619,0.9515879999999999,0.961556667
2511,1998-02-13,5.4733,5.7867,0.9459,0.946204762,0.951324,0.9613149999999999
2512,1998-02-17,5.52,5.8067,0.9506,0.946104762,0.9509799999999999,0.9611183329999999
2513,1998-02-18,5.4667,5.7733,0.9469,0.946385714,0.950542,0.960888333
2514,1998-02-19,5.44,5.7933,0.9390000000000001,0.9461142859999999,0.9500700000000001,0.960530833
2515,1998-02-20,5.5467,5.8533,0.9476,0.946666667,0.94985,0.960255833
2516,1998-02-23,5.4933,5.8467,0.9396,0.946485714,0.949544,0.959968333
2517,1998-02-24,5.52,5.82,0.9485,0.946452381,0.949268,0.9597108329999999
2518,1998-02-25,5.5733,5.8867,0.9468,0.9463476190000001,0.948946,0.959374167
2519,1998-02-26,5.6267,5.9333,0.9483,0.9463904759999999,0.948724,0.959104167
2520,1998-02-27,5.6,5.92,0.9459,0.9465571429999999,0.9485540000000001,0.958783333
2521,1998-03-02,5.5867,5.9,0.9469,0.9467523809999999,0.94826,0.958514167
2522,1998-03-03,5.6467,5.9333,0.9517,0.94652381,0.948102,0.958348333
2523,1998-03-04,5.56,5.8867,0.9445,0.946457143,0.9477479999999999,0.9580291670000001
2524,1998-03-05,5.5733,5.86,0.9511,0.946738095,0.94768,0.9578458329999999
2525,1998-03-06,5.6667,5.9933,0.9455,0.94707619,0.947772,0.9576775
2526,1998-03-09,5.6267,5.8867,0.9558,0.947580952,0.947738,0.95757
2527,1998-03-10,5.6533,5.9933,0.9433,0.947666667,0.9473459999999999,0.9574408329999999
