,Date,CRD/A US Equity,CRD/B US Equity,CRD/A US Equity / CRD/B US Equity,SMA_21,SMA_50,SMA_120
4253,2007-06-28,6.4,7.03,0.9104,0.9523809520000001,0.9588200000000001,0.924153333
4254,2007-06-29,6.4,6.76,0.9467,0.9524904759999999,0.9582219999999999,0.925129167
4255,2007-07-02,6.29,6.78,0.9277,0.951342857,0.957356,0.9257983329999999
4256,2007-07-03,6.37,6.76,0.9423,0.950633333,0.956448,0.9267025
4257,2007-07-05,6.29,6.75,0.9319,0.949633333,0.955594,0.927470833
4258,2007-07-06,6.39,6.75,0.9467,0.949066667,0.9546459999999999,0.9283408329999999
4259,2007-07-09,6.42,6.72,0.9554,0.948842857,0.9544360000000001,0.929276667
4260,2007-07-10,6.42,6.7,0.9582,0.948504762,0.95385,0.9302383329999999
4261,2007-07-11,6.34,6.7,0.9463,0.948133333,0.952838,0.931126667
4262,2007-07-12,6.28,6.87,0.9141,0.9454428570000001,0.9513379999999999,0.931875
4263,2007-07-13,6.25,6.71,0.9314,0.94417619,0.950448,0.9327116670000001
4264,2007-07-16,6.2,6.71,0.924,0.9421285709999999,0.94935,0.933381667
4265,2007-07-17,6.2,6.7,0.9254,0.9400952379999999,0.9487120000000001,0.934136667
4266,2007-07-18,6.26,6.72,0.9315,0.93802381,0.947794,0.9349375
4267,2007-07-19,6.36,6.8,0.9353,0.9376,0.9471700000000001,0.935688333
4268,2007-07-20,6.22,6.66,0.9339,0.936428571,0.9466120000000001,0.936434167
4269,2007-07-23,6.24,6.71,0.93,0.936257143,0.945768,0.9371375
4270,2007-07-24,6.05,6.55,0.9237,0.9339333329999999,0.9451280000000001,0.9377875
4271,2007-07-25,5.75,6.46,0.8901,0.931171429,0.9440360000000001,0.938206667
4272,2007-07-26,5.33,5.97,0.8928,0.929209524,0.9428280000000001,0.938551667
4273,2007-07-27,5.4,5.8,0.9309999999999999,0.929942857,0.942558,0.9394041670000001
4274,2007-07-30,5.25,5.58,0.9409,0.931395238,0.9427479999999999,0.9400575000000001
4275,2007-07-31,5.45,5.96,0.9144,0.929857143,0.942198,0.9404
4276,2007-08-01,5.26,5.77,0.9116,0.9290904759999999,0.941868,0.940793333
4277,2007-08-02,5.3,5.76,0.9201,0.928033333,0.941436,0.941231667
4278,2007-08-03,5.09,5.42,0.9391,0.92837619,0.9411940000000001,0.9419424999999999
4279,2007-08-06,5.25,5.89,0.8913,0.925738095,0.9400780000000001,0.9423925
4280,2007-08-07,5.19,5.66,0.917,0.923909524,0.939124,0.942871667
4281,2007-08-08,5.7,6.57,0.8676,0.919595238,0.937212,0.9427625
4282,2007-08-09,5.55,6.31,0.8796,0.916419048,0.9359999999999999,0.942579167
4283,2007-08-10,6.08,7.44,0.8172,0.911804762,0.933456,0.942156667
4284,2007-08-13,5.15,6.04,0.8526,0.908052381,0.931472,0.941854167
4285,2007-08-14,5.17,6.0,0.8617,0.905085714,0.9295620000000001,0.941608333
4286,2007-08-15,5.28,6.11,0.8642,0.902171429,0.927788,0.941433333
4287,2007-08-16,5.97,7.26,0.8223,0.896971429,0.925062,0.9406450000000001
4288,2007-08-17,6.14,7.55,0.8132,0.8911571429999999,0.9221239999999999,0.939773333
4289,2007-08-20,5.88,7.39,0.7957,0.88457619,0.918732,0.938731667
4290,2007-08-21,5.7,7.1,0.8028,0.878519048,0.9157059999999999,0.9377825000000001
4291,2007-08-22,5.87,7.15,0.821,0.8736285709999999,0.9127139999999999,0.9369116670000001
4292,2007-08-23,5.64,6.78,0.8319,0.870857143,0.910192,0.936178333
4293,2007-08-24,5.61,7.0,0.8014,0.866504762,0.9068799999999999,0.935331667
4294,2007-08-27,5.78,6.96,0.8305,0.861719048,0.904128,0.934558333
4295,2007-08-28,5.67,6.64,0.8539,0.85757619,0.9017059999999999,0.933903333
4296,2007-08-29,5.8,7.0,0.8286,0.8534904759999999,0.899394,0.9328825000000001
4297,2007-08-30,5.99,6.91,0.8669,0.851361905,0.8975620000000001,0.932359167
4298,2007-08-31,5.5599,6.43,0.8647,0.84872381,0.896184,0.9316958329999999
4299,2007-09-04,5.99,7.08,0.846,0.844290476,0.8936540000000001,0.9310516670000001
4300,2007-09-05,5.73,6.91,0.8292,0.841333333,0.8912760000000001,0.9303299999999999
4301,2007-09-06,5.83,6.5,0.8969,0.84037619,0.890534,0.9300799999999999
4302,2007-09-07,5.5,6.1,0.9016,0.841995238,0.8902540000000001,0.929749167
4303,2007-09-10,5.51,6.05,0.9107,0.84347619,0.89026,0.929529167
4304,2007-09-11,5.7,6.4,0.8906,0.8469714290000001,0.8891379999999999,0.929275
4305,2007-09-12,5.58,6.23,0.8957,0.84902381,0.888498,0.9289875
4306,2007-09-13,5.7,6.35,0.8976,0.850733333,0.8876040000000001,0.928631667
4307,2007-09-14,5.55,6.08,0.9128,0.853047619,0.887222,0.9285975000000001
4308,2007-09-17,5.43,5.94,0.9141,0.857419048,0.8865700000000001,0.9283100000000001
4309,2007-09-18,5.91,6.91,0.8553,0.85942381,0.884568,0.927504167
4310,2007-09-19,5.99,7.05,0.8496,0.8619904759999999,0.882396,0.9265958329999999
4311,2007-09-20,5.99,7.07,0.8472,0.8641047620000001,0.8804139999999999,0.925681667
4312,2007-09-21,5.94,7.0,0.8486,0.865419048,0.8791040000000001,0.924695833
4313,2007-09-24,5.92,7.0,0.8457,0.86607619,0.87739,0.9236158329999999
4314,2007-09-25,5.6924,6.73,0.8458,0.868190476,0.875826,0.9226333329999999
4315,2007-09-26,5.89,7.0,0.8414,0.868709524,0.8741459999999999,0.921471667
4316,2007-09-27,5.98,7.09,0.8434,0.8682095240000001,0.872384,0.9203958329999999
4317,2007-09-28,5.52,6.36,0.8679,0.870080952,0.871036,0.919571667
4318,2007-10-01,5.95,7.09,0.8392,0.868761905,0.869142,0.9185375
